Department,Group,Question,Guidance
Administration and Human Resources (1001),Standard Submission,"Provide a short narrative summary of achievements, challenges, and priorities for the year.","Submit: Narrative summary covering key events, successes, major obstacles, and forward-looking priorities."
Administration and Human Resources (1001),Standard Submission,Provide the Target vs Actual Performance table with variance and status.,"Submit: KPI/Activity table with columns: Target, Actual, Variance, Status."
Administration and Human Resources (1001),Standard Submission,List your key quantified achievements linked to supporting evidence.,Submit: A list of achievements with evidence references (file names or eOffice refs).
Administration and Human Resources (1001),Standard Submission,"Identify major challenges, their impact, mitigation actions taken, and recommendations.","Submit: Challenge description, impact, mitigation, recommendations."
Administration and Human Resources (1001),Standard Submission,"Provide budget/financial implications: budget, expenditure, commitments, pending items, and explanations.","Submit: Budget allocation, actual expenditure, commitments, pending bills, and variance explanations."
Administration and Human Resources (1001),Standard Submission,"Report on audit findings, legal/compliance matters, and corrective actions taken.","Submit: Audit issues, legal/compliance breaches, status of corrective actions (Closed/In Progress/Not Started)."
Finance and Accounts Unit (1002),Standard Submission,"Provide a short narrative summary of achievements, challenges, and priorities for the year.","Submit: Narrative summary covering key events, successes, major obstacles, and forward-looking priorities."
Finance and Accounts Unit (1002),Standard Submission,Provide the Target vs Actual Performance table with variance and status.,"Submit: KPI/Activity table with columns: Target, Actual, Variance, Status."
Finance and Accounts Unit (1002),Standard Submission,List your key quantified achievements linked to supporting evidence.,Submit: A list of achievements with evidence references (file names or eOffice refs).
Finance and Accounts Unit (1002),Standard Submission,"Identify major challenges, their impact, mitigation actions taken, and recommendations.","Submit: Challenge description, impact, mitigation, recommendations."
Finance and Accounts Unit (1002),Standard Submission,"Provide budget/financial implications: budget, expenditure, commitments, pending items, and explanations.","Submit: Budget allocation, actual expenditure, commitments, pending bills, and variance explanations."
Finance and Accounts Unit (1002),Standard Submission,"Report on audit findings, legal/compliance matters, and corrective actions taken.","Submit: Audit issues, legal/compliance breaches, status of corrective actions (Closed/In Progress/Not Started)."
Policy and Planning Division (1003),Standard Submission,"Provide a short narrative summary of achievements, challenges, and priorities for the year.","Submit: Narrative summary covering key events, successes, major obstacles, and forward-looking priorities."
Policy and Planning Division (1003),Standard Submission,Provide the Target vs Actual Performance table with variance and status.,"Submit: KPI/Activity table with columns: Target, Actual, Variance, Status."
Policy and Planning Division (1003),Standard Submission,List your key quantified achievements linked to supporting evidence.,Submit: A list of achievements with evidence references (file names or eOffice refs).
Policy and Planning Division (1003),Standard Submission,"Identify major challenges, their impact, mitigation actions taken, and recommendations.","Submit: Challenge description, impact, mitigation, recommendations."
Policy and Planning Division (1003),Standard Submission,"Provide budget/financial implications: budget, expenditure, commitments, pending items, and explanations.","Submit: Budget allocation, actual expenditure, commitments, pending bills, and variance explanations."
Policy and Planning Division (1003),Standard Submission,"Report on audit findings, legal/compliance matters, and corrective actions taken.","Submit: Audit issues, legal/compliance breaches, status of corrective actions (Closed/In Progress/Not Started)."
Internal Audit Unit (1004),Standard Submission,"Provide a short narrative summary of achievements, challenges, and priorities for the year.","Submit: Narrative summary covering key events, successes, major obstacles, and forward-looking priorities."
Internal Audit Unit (1004),Standard Submission,Provide the Target vs Actual Performance table with variance and status.,"Submit: KPI/Activity table with columns: Target, Actual, Variance, Status."
Internal Audit Unit (1004),Standard Submission,List your key quantified achievements linked to supporting evidence.,Submit: A list of achievements with evidence references (file names or eOffice refs).
Internal Audit Unit (1004),Standard Submission,"Identify major challenges, their impact, mitigation actions taken, and recommendations.","Submit: Challenge description, impact, mitigation, recommendations."
Internal Audit Unit (1004),Standard Submission,"Provide budget/financial implications: budget, expenditure, commitments, pending items, and explanations.","Submit: Budget allocation, actual expenditure, commitments, pending bills, and variance explanations."
Internal Audit Unit (1004),Standard Submission,"Report on audit findings, legal/compliance matters, and corrective actions taken.","Submit: Audit issues, legal/compliance breaches, status of corrective actions (Closed/In Progress/Not Started)."
Legal Services Unit (1005),Standard Submission,"Provide a short narrative summary of achievements, challenges, and priorities for the year.","Submit: Narrative summary covering key events, successes, major obstacles, and forward-looking priorities."
Legal Services Unit (1005),Standard Submission,Provide the Target vs Actual Performance table with variance and status.,"Submit: KPI/Activity table with columns: Target, Actual, Variance, Status."
Legal Services Unit (1005),Standard Submission,List your key quantified achievements linked to supporting evidence.,Submit: A list of achievements with evidence references (file names or eOffice refs).
Legal Services Unit (1005),Standard Submission,"Identify major challenges, their impact, mitigation actions taken, and recommendations.","Submit: Challenge description, impact, mitigation, recommendations."
